ticker,price,shares_out,market_cap,cash_q,total_debt_q,revenue_ttm,ebitda_ttm,currency,asof_income,asof_balance
CRM,237.7100067138672,988900992.0,235071661447.66992,10928000000.0,11369000000.0,38591000000.0,11368000000.0,USD,2025-04-30,2025-04-30
DDOG,130.3350067138672,348744992.0,45453680873.74756,1079854000.0,1877296000.0,2834575000.0,250472000.0,USD,2025-03-31,2025-03-31
SNOW,195.5,333657984.0,65230135872.0,2243083000.0,2687763000.0,3839761000.0,-1239625000.0,USD,2025-04-30,2025-04-30
NET,201.8000030517578,348481984.0,70323665434.68262,1518608000.0,3462113000.0,1881431000.0,53775000.0,USD,2025-06-30,2025-06-30
MDB,204.97000122070312,81714304.0,16748980990.628906,657809000.0,37000000.0,2104896000.0,-51915000.0,USD,2025-04-30,2025-04-30
