date,IRSrtn
2015-01-05,-0.19486378211976962
2015-01-06,3.889552650074135
2015-01-07,0.6234539913259951
2015-01-08,-2.453728806420008
2015-01-09,-0.7031025921595546
2015-01-12,1.65397964452918
2015-01-13,-1.1421523721930615
2015-01-14,-1.868002515156686
2015-01-16,-0.5215180242947426
2015-01-20,-0.2617640271155963
2015-01-21,4.045490651654049
2015-01-22,0.0629089670987959
2015-01-23,-1.32955752956061
2015-01-26,0.3816777309071373
2015-01-28,-1.9231254191772518
2015-01-29,-0.5191416353324652
2015-01-30,0.45439977844035084
2015-02-02,-0.5194934029067788
2015-02-03,0.32498669240688116
2015-02-04,0.904408458148076
2015-02-05,1.4048683950851792
2015-02-06,-1.469193774034272
2015-02-09,-0.45147640774301223
2015-02-10,1.4120895842061554
2015-02-11,1.3924340333987928
2015-02-12,2.5443538366651364
2015-02-13,0.30589901020081633
2015-02-17,1.5156483212857008
2015-02-18,2.025079317309997
2015-02-19,-2.205757004369291
2015-02-20,0.7805493576157563
2015-02-23,0.5963013609785239
2015-02-24,1.240780462284885
2015-02-25,1.1675622576204248
2015-02-26,-0.6404676806391674
2015-02-27,-0.8211210078130193
2015-03-02,-2.2633357828468537
2015-03-03,-0.3621121414501882
2015-03-04,0.7829065034391292
2015-03-05,3.651759604709248
2015-03-06,-0.11574010037098681
2015-03-09,3.191148881637673
2015-03-10,-1.868154205575756
2015-03-11,3.757101197515045
2015-03-12,3.035458653585854
2015-03-13,-0.053395208086781665
2015-03-16,2.5838449353772663
2015-03-17,4.1300767435315855
2015-03-18,5.254130182998917
2015-03-19,-3.275815132814053
2015-03-20,1.8438015852134892
2015-03-23,-3.3238566680218185
2015-03-24,0.7920900477447645
2015-03-25,-0.29630040675705516
2015-03-26,-4.501386521234041
2015-03-27,2.7049298780668085
2015-03-30,-0.4036309688922213
2015-03-31,-0.35452135909705973
2015-04-01,0.3039441881200311
2015-04-02,-0.10119689261207654
2015-04-06,0.6560417123445905
2015-04-07,-0.7573639770250828
2015-04-08,-0.3554443161742249
2015-04-09,-1.8480917175653477
2015-04-10,1.6953905234523337
2015-04-13,-1.5400570706177508
2015-04-14,1.8960321559298166
2015-04-15,-4.304523626382428
2015-04-16,-2.84889428259798
2015-04-17,-2.652086563050249
2015-04-20,2.214911349623927
2015-04-21,-0.3291262965810837
2015-04-22,0.9297468952228272
2015-04-23,1.833907761526632
2015-04-24,-0.05344627306023142
2015-04-27,1.010907079636958
2015-04-28,-0.7972390114618477
2015-04-29,-1.1808920235228282
2015-04-30,-2.183505117851725
2015-05-01,1.0976935940490762
2015-05-04,1.5168320878335084
2015-05-05,1.4411908002330165
2015-05-06,-0.6913193407410478
2015-05-07,-0.3206946761902252
2015-05-08,-0.5905994537678261
2015-05-11,-0.3776530832495073
2015-05-12,1.1821732583621625
2015-05-13,0.4264434670527173
2015-05-14,-0.15971002408798896
2015-05-15,-0.15995948811933225
2015-05-18,-0.16022179511487877
2015-05-19,-1.1287254180926798
2015-05-20,-0.9231586904038913
2015-05-21,-1.5393475259033895
2015-05-22,0.11072887665553033
2015-05-26,0.11063756925655532
2015-05-27,-0.27679877307562606
2015-05-28,-0.2219619228541969
2015-05-29,0.16652386686426546
2015-06-01,-0.44470857884868487
2015-06-02,3.8792206086922576
2015-06-04,2.1209763614963073
2015-06-05,-1.7999385335169649
2015-06-08,-0.6430975046465726
2015-06-09,2.075085925256781
2015-06-10,-0.3692970678278673
2015-06-11,-0.9025671288840798
2015-06-12,-1.4504695574975912
2015-06-15,-1.526757163419612
2015-06-16,-1.1049712276682389
2015-06-17,-2.1904870604917193
2015-06-18,0.3967208184540105
2015-06-19,0.8448295292865282
2015-06-22,7.610904274770114
2015-06-23,-0.6256620251265943
2015-06-24,-2.167679652474641
2015-06-25,0.9574608065767265
2015-06-26,-0.7438887424089824
2015-06-29,-3.583437252655619
2015-06-30,-0.7769454079142424
2015-07-01,-0.27892294262610307
2015-07-02,2.5373716125292045
2015-07-06,-3.6609853453203556
2015-07-07,-1.4225008454811228
2015-07-08,-3.558247318640939
2015-07-09,4.129687146855376
2015-07-10,1.245768610813025
2015-07-13,1.1192058876085653
2015-07-14,0.5549310329200363
2015-07-15,0.6618851494053946
2015-07-16,1.6358085824763613
2015-07-17,0.2700469445294562
2015-07-20,-4.636585190486153
2015-07-21,0.22575154891613103
2015-07-22,-0.6787445402708592
2015-07-23,-2.238260610660614
2015-07-24,-2.646430024314883
2015-07-27,-0.777754212428805
2015-07-28,1.1940507893487329
2015-07-29,0.8274298657797718
2015-07-30,-1.4823886916985884
2015-07-31,1.01040743075691
2015-08-03,2.683933304082897
2015-08-04,-3.515287307748549
2015-08-05,0.17871997515817029
2015-08-07,3.048304478127273
2015-08-10,3.3497348852090436
2015-08-11,-4.045002577626411
2015-08-12,-2.8901915394474287
2015-08-13,2.30712247248146
2015-08-14,-0.2342106433680602
2015-08-17,0.7009533074329166
2015-08-18,-0.9356806599240652
2015-08-19,-2.3782266032606802
2015-08-20,-4.3659011681516535
2015-08-21,-7.43496926401046
2015-08-24,-3.865224770010256
2015-08-25,0.8409252884532759
2015-08-26,1.935110914259841
2015-08-27,2.0325788876599304
2015-08-28,0.4683936246711706
2015-08-31,0.665334705421472
2015-09-01,-2.077118650455434
2015-09-02,-1.5694728345745368
2015-09-03,0.9582497831257086
2015-09-04,-1.9952351654984657
2015-09-08,1.4487964717793123
2015-09-10,-0.06851236731528765
2015-09-11,2.571176702747202
2015-09-14,-0.9395989306967945
2015-09-15,-0.608742604700474
2015-09-16,0.2033389451333356
2015-09-17,-0.06772353204738124
2015-09-18,-2.5387346848999126
2015-09-21,0.5543910410331865
2015-09-22,1.099669052766128
2015-09-23,-2.1417050646966196
2015-09-24,-0.5602224140493384
2015-09-25,2.5651370345967983
2015-09-28,-2.0747670864472045
2015-09-29,-2.7631983324842846
2015-09-30,4.357681151654091
2015-10-01,1.4339569407968433
2015-10-02,3.2024131554973856
2015-10-05,2.272085652322975
2015-10-06,-0.9026372285932283
2015-10-07,0.45232978327738316
2015-10-08,-0.5171208901175728
2015-10-09,-0.06484042538508206
2015-10-12,2.3077891952581364
2015-10-13,0.06336164817968282
2015-10-14,-0.06336164817968282
2015-10-15,2.9964903664811082
2015-10-16,1.1617342486350601
2015-10-19,2.0458082224302565
2015-10-20,-1.3793345451027506
2015-10-21,-3.627822506045808
2015-10-22,0.1251487080237368
2015-10-23,0.8717457056242495
